# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Bodycraft Academy
# Property: Bodycraftacademy
# ----------------------------------------
# 
# All Users
# Start date: 20260209
# End date: 20260308
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/professional-courses/make-up/bridal-makeup/,13,10,1.3,21.5,57,0,0
/certified-eyelash-course/,12,6,2,34.333333333333336,45,0,0
/how-to-choose-the-right-haircut-for-your-face-shape/,12,12,1,12.666666666666666,52,0,0
/nail-art-course/,12,11,1.0909090909090908,20.454545454545453,51,0,0
/beautician-course-mistakes-to-avoid/,10,6,1.6666666666666667,165.66666666666666,44,0,0
/professional-courses/hair-dressing/hair-craft/,10,10,1,48.4,33,0,0
/404/,9,2,4.5,32,30,0,0
/hair-cutting-course/,9,9,1,28.666666666666668,39,0,0
/hrbr-layout/cosmetology-course/,9,9,1,24.88888888888889,36,0,0
/master-hairdresser-skills-hairdressing-courses/,9,6,1.5,170.16666666666666,36,0,0
/our-story/,9,5,1.8,19.2,34,0,0
/makeup-courses-in-bangalore/,8,7,1.1428571428571428,14.285714285714286,29,0,0
/nail-extension-courses/,8,8,1,18.125,32,0,0
/professional-courses/eyelash/,8,7,1.1428571428571428,48,29,0,0
/real-stories-professional-makeup-courses-bangalore/,8,8,1,10.375,37,0,0
/about/group/,7,5,1.4,44.6,26,0,0
/beauty-academy-international-makeup/,7,7,1,9.857142857142858,29,0,0
/bridal-makeup-courses-techniques-stunning-long-lasting-looks/,7,5,1.4,9,28,0,0
/privacy-policy/,7,5,1.4,1.2,22,0,0
/types-of-nail-art-courses-benefits/,7,8,0.875,59.25,34,0,0
/best-makeup-academy-in-bangalore/,6,4,1.5,24.25,18,0,0
/hair-stylist-courses/,6,5,1.2,15.8,24,0,0
/hairdressing-courses-for-beginners-overview/,6,5,1.2,30.8,23,0,0
/how-to-translate-trend-forecasts-into-real-salon-results/,6,5,1.2,10.8,19,0,0
/hrbr/,6,3,2,4.333333333333333,13,0,0
/professional-hairdressing-courses-advanced-skills/,6,6,1,7.833333333333333,26,0,0
/best-cosmetology-course-india/,5,5,1,12.6,18,0,0
/best-makeup-course-india/,5,5,1,14,18,0,0
/bridal-makeup-classes/,5,5,1,111.2,23,0,0
/hair-makeup-nails-skin-should-you-specialise-or-learn-it-all/,5,5,1,11.4,18,0,0
/latest-nail-trends-nail-art-course-fees/,5,6,0.8333333333333334,4.5,22,0,0
/pre-holi-skincare-guide-2026/,5,5,1,4,18,0,0
/skin-care-routine-steps/,5,6,0.8333333333333334,7.5,23,0,0
/top-makeup-artist-in-bangalore/,5,5,1,32.4,24,0,0
/bridal-makeup-trends/,4,4,1,2,14,0,0
/practical-learning-best-makeup-courses-india/,4,4,1,15,16,0,0
/shape-your-future-with-certified-makeup-artist-course/,4,5,0.8,1.6,16,0,0
/about/commitments/,3,1,3,0,6,0,0
/advanced-education-for-established-hair-stylists/,3,3,1,44.333333333333336,14,0,0
/contact/,3,3,1,3.6666666666666665,8,0,0
/guide-professional-hairstylist-course/,3,3,1,1,13,0,0
/makeup-for-beginners/,3,4,0.75,128,13,0,0
/more-than-beauty-understanding-the-world-of-cosmetology/,3,3,1,4.333333333333333,12,0,0
/professional-hairdressing-course/,3,3,1,8.333333333333334,14,0,0
/stranger-things-80s-hairstyle-revival/,3,3,1,2.3333333333333335,10,0,0
/tag/strangerthings/,3,1,3,2,7,0,0
/wp-login.php,3,3,1,11.666666666666666,15,0,0
//checkout/,2,2,1,0,8,0,0
/beauty-training-institute-with-placement/,2,2,1,5.5,6,0,0
/category/cosmetology-course/,2,1,2,0,5,0,0
/enroll-in-hairdressing-academy/,2,2,1,11,8,0,0
/lead-test-page/,2,2,1,1.5,11,0,0
/makeup-artist-course-hrbr-layout-bengaluru/,2,2,1,2.5,7,0,0
/professional-salon-vs-everyday-hairstyle/,2,2,1,3.5,10,0,0
/south-indian-bridal-makeup-artist-in-bangalore/,2,2,1,0.5,9,0,0
/test-landing-page/,2,1,2,157,11,0,0
/2024/11/,1,1,1,0,3,0,0
/SASSON-SCHOOL-PROGRAM/,1,1,1,28,5,0,0
/author/bodycraft-academy/,1,1,1,3,5,0,0
/author/mihika/,1,1,1,0,3,0,0
/beautify-your-passion-with-the-best-makeup-artist/,1,1,1,0,4,0,0
/beginner-makeup-mistakes-and-how-to-avoid-them/,1,1,1,8,3,0,0
/blog/how-to-choose-best-hairdressing-course/,1,1,1,0,4,0,0
/bodycraft-nail-landing-page/,1,1,1,8,6,0,0
/bridal-makeup-techniques/,1,1,1,0,4,0,0
/c/wp-content/plugins/header-footer-code-manager/header-footer-code-manager/zombie.php,1,1,1,0,4,0,0
/career-opportunities-certified-makeup-artist-course-2025,1,1,1,0,4,0,0
/category/eyelash/,1,1,1,0,4,0,0
/category/makeup/,1,1,1,0,4,0,0
/category/skin-care/,1,1,1,0,2,0,0
/category/skin-course/,1,1,1,0,4,0,0
/hair-cutting-course,1,1,1,0,3,0,0
/how-beautician-courses-build-professionals/,1,1,1,1,5,0,0
/how-to-choose-best-hairdressing-course-career/,1,1,1,15,5,0,0
/hrbr-layout/eyelash-extension-course/,1,1,1,73,5,0,0
/hrbr-layout/skin-care-course/,1,1,1,23,5,0,0
/hrbr-thank-you/,1,1,1,0,2,0,0
/makeup/mastering-bridal-makeup/,1,1,1,0,4,0,0
/mastering-bridal-makeup/,1,2,0.5,14.5,4,0,0
/placement-partner/,1,1,1,0,2,0,0
/professional-hairdressing-course-haircare-secrets/,1,1,1,54,4,0,0
/sassoon-connect-program/,1,1,1,3,5,0,0
/sitemap/,1,1,1,0,5,0,0
/skin-aesthetics-career-training/,1,1,1,0,4,0,0
/tag/80s-hirstyles/,1,1,1,0,2,0,0
/tag/begineermakeupmistakes/,1,1,1,1,6,0,0
/tag/diy-hairstyles/,1,1,1,0,2,0,0
/tag/hairstyles/,1,1,1,1,3,0,0
/tag/makeuptipsforbeginners/,1,1,1,0,5,0,0
/tag/nail-art-training-classes/,1,1,1,0,4,0,0
/tag/professionalskintraining/,1,1,1,0,5,0,0
/the-science-of-mens-hairlines-receding-maturing-how-to-cut-for-each/,1,1,1,6,5,0,0
/why-beauty-career-is-best-choice/,1,2,0.5,0,4,0,0
